Object ID,County GNIS Code,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,Median Household Income in past 12 months (inflation-adjusted dollars to last year of 5-year range),Median Household Income in past 12 months (inflation-adjusted dollars to last year of 5-year range) - Margin of Error,"Median Household Income in past 12 months, Householder under 25 years","Median Household Income in past 12 months, Householder under 25 years - Margin of Error","Median Household Income in past 12 months, Householder 25 to 44 years","Median Household Income in past 12 months, Householder 25 to 44 years - Margin of Error","Median Household Income in past 12 months, Householder 45 to 64 years","Median Household Income in past 12 months, Householder 45 to 64 years - Margin of Error","Median Household Income in past 12 months, Householder 65 years and over","Median Household Income in past 12 months, Householder 65 years and over - Margin of Error","Median Household Income in past 12 months, Black or African American Alone Householder","Median Household Income in past 12 months, Black or African American Alone Householder - Margin of Error","Median Household Income in past 12 months, American Indian and Alaska Native Alone Householder","Median Household Income in past 12 months, American Indian and Alaska Native Alone Householder - Margin of Error","Median Household Income in past 12 months, Asian Alone Householder","Median Household Income in past 12 months, Asian Alone Householder - Margin of Error","Median Household Income in past 12 months, Native Hawaiian and Other Pacific Islander Alone Householder","Median Household Income in past 12 months, Native Hawaiian and Other Pacific Islander Alone Householder - Margin of Error","Median Household Income in past 12 months, Some Other Race Alone Householder","Median Household Income in past 12 months, Some Other Race Alone Householder - Margin of Error","Median Household Income in past 12 months, Two or More Races Householder","Median Household Income in past 12 months, Two or More Races Householder - Margin of Error","Median Household Income in past 12 months, White alone, not Hispanic Householder","Median Household Income in past 12 months, White alone, not Hispanic Householder - Margin of Error","Median Household Income in past 12 months, Hispanic or Latino Householder","Median Household Income in past 12 months, Hispanic or Latino Householder - Margin of Error",Total Households,Total Households - Margin of Error,Households with any self-employment income in past 12 months,Households with any self-employment income in past 12 months - Margin of Error,Households with no self-employment income in past 12 months,Households with no self-employment income in past 12 months - Margin of Error,Percent of households with any self-employment income,Percent of households with any self-employment income - Margin of Error,Shape Area,Shape Length,Update Field
1,00161526,01001,1539631461,25677536,Autauga County,Alabama,69841,5512,54527,8489,80670,4432,85992,5525,47114,3721,53861,5482,,,61375,40999,,,32394,28315,93159,14232,76976,6419,92728,18340,22523,431,1579,288,20944,524,7,1.27163593141786,2208587756.70313,249970.191787819,Yes
2,00161527,01003,4117725048,1132887203,Baldwin County,Alabama,75019,2751,29293,7046,85201,4508,88873,6864,59198,2953,39015,5628,62438,13503,97841,27530,,,58804,18700,79085,10777,81134,2798,65116,16165,94642,1316,11004,965,83638,1509,11.6,1.00673276712226,5911174507.65039,537587.260724824,Yes
3,00161528,01005,2292160151,50523213,Barbour County,Alabama,44290,2762,27025,16523,45574,6052,54085,10639,40305,5531,28125,2586,25625,11045,64196,27133,,,44243,18523,28828,19295,65577,6986,38500,24492,9080,315,798,172,8282,323,8.8,1.8695757228667,3257906793.03906,320882.847904391,Yes
4,00161529,01007,1612188713,9572302,Bibb County,Alabama,51215,6678,,,59395,10881,60320,14012,37938,4465,25833,7759,,,,,,,,,,,60817,6218,,,7571,288,515,185,7056,367,6.8,2.42979536528637,2311977954.53125,227920.060972415,Yes
5,00161530,01009,1670259100,14860281,Blount County,Alabama,61096,3328,39425,15908,73482,5581,70522,10399,44642,3493,58036,53231,60536,35040,,,,,63971,34785,44583,7085,62636,3845,48777,18273,21977,403,2394,310,19583,500,10.9,1.39635031352992,2456904210.29297,292630.287003881,Yes
6,00161531,01011,1613083468,6030667,Bullock County,Alabama,36723,6836,82719,35126,42988,14909,30507,9623,23854,18705,30149,7651,,,,,,,69028,33697,11227,5795,65063,21521,64844,28166,3453,245,244,125,3209,234,7.1,3.58515223685083,2262904519.98438,249092.797012036,Yes
7,00161532,01013,2012002548,2701199,Butler County,Alabama,44881,4130,40333,17426,41630,8162,55250,12802,41151,4573,34870,5353,,,,,,,,,,,54739,8739,,,7262,313,477,127,6785,317,6.6,1.7257622285067,2794760978.60156,221283.357190429,Yes
8,00161533,01015,1569248377,16534047,Calhoun County,Alabama,55826,2168,33683,15617,60761,4772,62076,5251,44974,2979,37484,4732,,,64219,36314,,,48261,39140,42167,26735,60753,2637,50375,24477,45125,708,3790,499,41335,774,8.4,1.0979374171383,2300852366.69531,263781.308198152,Yes
9,00161534,01017,1545068570,16988729,Chambers County,Alabama,49295,5005,,,59444,6701,59619,13671,38722,4598,41660,6309,,,,,,,,,93250,85783,57748,7047,82768,25416,13419,476,937,280,12482,502,7,2.07184055775882,2222662395.77734,208606.041359375,Yes
10,00161535,01019,1433620850,120310807,Cherokee County,Alabama,50769,4891,48375,12670,63163,6626,63694,7981,40837,3177,49524,31975,60903,30048,16058,4234,,,62744,35481,44572,11579,50978,4819,44693,26140,10477,416,802,201,9675,435,7.7,1.89425832416574,2276002215.98828,237079.593526513,Yes
