Object ID,State GNIS Code,Geographic Identifier - FIPS Code,State FIPS Postal Code,Name,Area of Land (Square Meters),Area of Water (Square Meters),Median Household Income in past 12 months (inflation-adjusted dollars to last year of 5-year range),Median Household Income in past 12 months (inflation-adjusted dollars to last year of 5-year range) - Margin of Error,"Median Household Income in past 12 months, Householder under 25 years","Median Household Income in past 12 months, Householder under 25 years - Margin of Error","Median Household Income in past 12 months, Householder 25 to 44 years","Median Household Income in past 12 months, Householder 25 to 44 years - Margin of Error","Median Household Income in past 12 months, Householder 45 to 64 years","Median Household Income in past 12 months, Householder 45 to 64 years - Margin of Error","Median Household Income in past 12 months, Householder 65 years and over","Median Household Income in past 12 months, Householder 65 years and over - Margin of Error","Median Household Income in past 12 months, Black or African American Alone Householder","Median Household Income in past 12 months, Black or African American Alone Householder - Margin of Error","Median Household Income in past 12 months, American Indian and Alaska Native Alone Householder","Median Household Income in past 12 months, American Indian and Alaska Native Alone Householder - Margin of Error","Median Household Income in past 12 months, Asian Alone Householder","Median Household Income in past 12 months, Asian Alone Householder - Margin of Error","Median Household Income in past 12 months, Native Hawaiian and Other Pacific Islander Alone Householder","Median Household Income in past 12 months, Native Hawaiian and Other Pacific Islander Alone Householder - Margin of Error","Median Household Income in past 12 months, Some Other Race Alone Householder","Median Household Income in past 12 months, Some Other Race Alone Householder - Margin of Error","Median Household Income in past 12 months, Two or More Races Householder","Median Household Income in past 12 months, Two or More Races Householder - Margin of Error","Median Household Income in past 12 months, White alone, not Hispanic Householder","Median Household Income in past 12 months, White alone, not Hispanic Householder - Margin of Error","Median Household Income in past 12 months, Hispanic or Latino Householder","Median Household Income in past 12 months, Hispanic or Latino Householder - Margin of Error",Total Households,Total Households - Margin of Error,Households with any self-employment income in past 12 months,Households with any self-employment income in past 12 months - Margin of Error,Households with no self-employment income in past 12 months,Households with no self-employment income in past 12 months - Margin of Error,Percent of households with any self-employment income,Percent of households with any self-employment income - Margin of Error,Shape Area,Shape Length,Update Field
1,01779775,01,AL,Alabama,131185049346,4582326383,62027,400,31909,1077,68817,987,75342,1145,48232,570,42373,666,61495,7329,85907,5526,60938,14120,50221,2930,59835,3272,71763,523,55791,3030,1969105,6574,174626,3347,1794479,6630,8.9,0.167377232518338,190113636229.07,2354852.66996535,Yes
2,01785533,02,AK,Alaska,1479016910296,245347100126,89336,1374,54855,3971,96672,2468,105704,2198,69006,2858,73780,6631,59090,2091,90314,6289,74554,8366,85174,10908,85531,4679,97533,1991,74456,3623,267865,1441,35546,1396,232319,2012,13.3,0.516245600137524,8208462008128.15,82199360.1011933,Yes
3,01779777,04,AZ,Arizona,294366106734,854003932,76872,414,48346,1409,85375,859,93182,983,59411,528,61061,1349,49367,1331,101515,2320,86465,6567,66271,1418,70982,1241,82734,548,67658,802,2796790,6018,295054,4870,2501736,7129,10.5,0.172642172479483,434050843056.148,2907135.23464532,Yes
4,00068085,05,AR,Arkansas,134660466558,3122251184,58773,503,37642,1691,66945,913,69249,1040,44711,656,38415,1163,55414,3550,90288,4436,61413,6091,58191,2329,58898,1786,63504,684,58042,1385,1189160,4619,118359,2573,1070801,4656,10,0.212889319471859,205402822358.27,2683803.15203433,Yes
5,01779778,06,CA,California,403673296401,20291770234,96334,298,51149,1199,105081,509,112886,543,69431,364,67365,843,78909,1952,125149,734,96758,3648,74377,458,87968,812,109049,436,78763,442,13434847,19805,1837602,9382,11597245,20628,13.7,0.0668590730818364,650013783169.664,5467289.59625466,Yes
6,01779779,08,CO,Colorado,268418756810,1185758065,92470,483,50440,1151,101711,827,112708,1074,66062,798,64391,2348,64873,4481,108735,3055,85985,7444,70958,2018,79786,1459,99390,649,73641,1032,2325576,4759,309256,4307,2016320,5945,13.3,0.1831912515675,447310995829.773,2708229.16512589,Yes
7,01779780,09,CT,Connecticut,12541750274,1816364426,93760,669,49834,2926,100559,1269,115883,1543,68166,1184,62712,2235,52152,13365,126722,5133,41573,27806,56744,2086,76435,2135,105684,877,60136,1521,1420170,3490,163401,2481,1256769,3979,11.5,0.172394071556311,23148041023.9648,862524.952860242,Yes
8,01779781,10,DE,Delaware,5046703781,1399207462,82855,1234,42103,3015,88667,2489,97955,2024,67254,1436,62462,2589,49482,12445,130767,8569,,,62745,8282,70670,4236,90306,1491,65930,4505,396209,1648,34354,1567,361855,2316,8.7,0.393850542314574,8634900098.11719,635532.663788385,Yes
9,01702382,11,DC,District of Columbia,158316184,18709787,106287,1803,53537,3684,122558,2856,118523,5052,69627,3951,60089,2536,63617,2860,121619,11338,155691,147325,74754,5836,116869,11750,169331,3251,106435,6702,321556,1499,33190,1548,288366,1910,10.3,0.478998489498224,292742714.589844,86300.9236165118,Yes
10,00294478,12,FL,Florida,138963763779,45970528648,71711,282,44422,1030,78608,547,84752,572,56005,332,54426,561,67217,3092,92402,1803,80763,10392,61497,1187,69877,675,77932,407,66556,545,8550911,21145,916303,10269,7634608,19592,10.7,0.117132522524948,196829280212.789,5247871.6649938,Yes
